sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_name,analysis_job_id,video_filename,recorded_at
1129,7860,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,984.3,19686,0.8727,dc118a8c-2148-4203-a2ef-30e7e5c4acff,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,2c46fc2f-ee1b-4ff3-a3a2-d85200c699ae,bandung7.mp4,2026-06-17T15:14:00+07:00
1130,7856,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,984.5,19690,0.8912,dc118a8c-2148-4203-a2ef-30e7e5c4acff,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,2c46fc2f-ee1b-4ff3-a3a2-d85200c699ae,bandung7.mp4,2026-06-17T15:14:00+07:00
1131,800415,motorcycle,motorcycle,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,motorcycle,1,Default Line,normal,984.9,19698,0.526,dc118a8c-2148-4203-a2ef-30e7e5c4acff,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,2c46fc2f-ee1b-4ff3-a3a2-d85200c699ae,bandung7.mp4,2026-06-17T15:14:00+07:00
1132,7867,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,985.55,19711,0.9267,dc118a8c-2148-4203-a2ef-30e7e5c4acff,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,2c46fc2f-ee1b-4ff3-a3a2-d85200c699ae,bandung7.mp4,2026-06-17T15:14:00+07:00
1133,7880,motorcycle,kelas 1 motor,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,Kelas 1 Motor,1,Default Line,opposite,987.05,19741,0.7686,dc118a8c-2148-4203-a2ef-30e7e5c4acff,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,2c46fc2f-ee1b-4ff3-a3a2-d85200c699ae,bandung7.mp4,2026-06-17T15:14:00+07:00
1134,7877,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,987.1,19742,0.8744,dc118a8c-2148-4203-a2ef-30e7e5c4acff,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,2c46fc2f-ee1b-4ff3-a3a2-d85200c699ae,bandung7.mp4,2026-06-17T15:14:00+07:00
1135,7887,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,988.05,19761,0.6246,dc118a8c-2148-4203-a2ef-30e7e5c4acff,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,2c46fc2f-ee1b-4ff3-a3a2-d85200c699ae,bandung7.mp4,2026-06-17T15:14:00+07:00
1136,7892,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,988.75,19775,0.9062,dc118a8c-2148-4203-a2ef-30e7e5c4acff,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,2c46fc2f-ee1b-4ff3-a3a2-d85200c699ae,bandung7.mp4,2026-06-17T15:14:00+07:00
1137,7902,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,989.25,19785,0.6635,dc118a8c-2148-4203-a2ef-30e7e5c4acff,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,2c46fc2f-ee1b-4ff3-a3a2-d85200c699ae,bandung7.mp4,2026-06-17T15:14:00+07:00
1138,800417,motorcycle,motorcycle,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,motorcycle,1,Default Line,normal,989.25,19785,0.7342,dc118a8c-2148-4203-a2ef-30e7e5c4acff,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,2c46fc2f-ee1b-4ff3-a3a2-d85200c699ae,bandung7.mp4,2026-06-17T15:14:00+07:00
