sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_name,analysis_job_id,video_filename,recorded_at
604,8499,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,1414.75,28295,0.8671,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
605,8515,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,1416.25,28325,0.8085,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
606,8541,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,1417.7,28354,0.8154,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
607,8526,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,1417.9,28358,0.6741,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
608,8560,motorcycle,kelas 1 motor,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,Kelas 1 Motor,1,Default Line,opposite,1421.65,28433,0.8529,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
609,8557,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,1422.2,28444,0.8974,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
610,8567,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,1425.1,28502,0.4273,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
611,8577,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,1426.55,28531,0.7907,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
612,8590,motorcycle,kelas 1 motor,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,Kelas 1 Motor,1,Default Line,opposite,1426.85,28537,0.7418,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
613,8586,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,1427.4,28548,0.5129,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
614,8603,truck,kelas 4 pickup,pickup_micro_delivery,pickup / micro truck / delivery vehicle,4,Pickup / micro truck / delivery,Kelas 4 Pickup,1,Default Line,opposite,1430.7,28614,0.8137,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
615,8618,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,1432.6,28652,0.8716,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
616,8617,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,1435.2,28704,0.7878,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
617,8630,car,kelas 3 angkot,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 3 Angkot,1,Default Line,opposite,1437.35,28747,0.381,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
618,8629,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,1437.7,28754,0.7785,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
619,8658,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,1441.5,28830,0.8718,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
