sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_name,analysis_job_id,video_filename,recorded_at
11,50,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,10.15,203,0.8928,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
12,60,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,12.85,257,0.9029,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
13,65,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,14.0,280,0.7784,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
14,68,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,15.0,300,0.8929,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
15,75,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,15.75,315,0.9019,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
16,72,motorcycle,kelas 1 motor,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,Kelas 1 Motor,1,Default Line,opposite,15.8,316,0.8675,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
17,83,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,17.4,348,0.8623,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
18,84,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,17.5,350,0.8911,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
19,800004,motorcycle,motorcycle,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,motorcycle,1,Default Line,opposite,17.7,354,0.1834,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
20,126,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,20.25,405,0.8961,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
21,132,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,21.1,422,0.8659,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
22,140,motorcycle,kelas 1 motor,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,Kelas 1 Motor,1,Default Line,opposite,22.5,450,0.7698,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
23,145,car,kelas 3 angkot,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 3 Angkot,1,Default Line,opposite,22.7,454,0.7843,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
24,136,bus,kelas 5 bus,large_bus,large bus,5b,Large bus,Kelas 5 Bus,1,Default Line,opposite,22.8,456,0.8978,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
25,155,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,24.35,487,0.7569,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
26,150,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,24.45,489,0.8823,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
27,157,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,25.25,505,0.5558,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
28,159,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,25.25,505,0.6963,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
29,162,car,kelas 3 angkot,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 3 Angkot,1,Default Line,opposite,25.95,519,0.7668,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
30,160,car,kelas 3 angkot,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 3 Angkot,1,Default Line,opposite,26.75,535,0.887,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
31,175,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,27.45,549,0.8995,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
32,800009,motorcycle,motorcycle,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,motorcycle,1,Default Line,opposite,27.6,552,0.5239,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
33,149,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,28.2,564,0.8661,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
34,198,car,kelas 3 angkot,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 3 Angkot,1,Default Line,opposite,30.75,615,0.9058,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
35,201,motorcycle,kelas 1 motor,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,Kelas 1 Motor,1,Default Line,opposite,30.85,617,0.8474,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
36,219,bus,kelas 5 bus,small_bus,small bus,5a,Small bus,Kelas 5 Bus,1,Default Line,normal,32.75,655,0.5595,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
37,229,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,35.2,704,0.8935,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
38,235,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,35.85,717,0.7578,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
39,247,motorcycle,kelas 1 motor,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,Kelas 1 Motor,1,Default Line,opposite,36.5,730,0.7013,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
40,246,motorcycle,kelas 1 motor,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,Kelas 1 Motor,1,Default Line,opposite,36.7,734,0.8803,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
