sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_name,analysis_job_id,video_filename,recorded_at
11,65,bus,bus,small_bus,small bus,5a,Small bus,bus,1,Default Line,opposite,15.16,379,0.9369,8d6528b6-0031-4ad8-ade1-612d20a36302,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,a52b1102-8906-4f46-88c4-33aa9288e430,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
12,73,car,car,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,car,1,Default Line,opposite,15.44,386,0.8894,8d6528b6-0031-4ad8-ade1-612d20a36302,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,a52b1102-8906-4f46-88c4-33aa9288e430,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
13,74,car,car,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,car,1,Default Line,opposite,17.32,433,0.8526,8d6528b6-0031-4ad8-ade1-612d20a36302,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,a52b1102-8906-4f46-88c4-33aa9288e430,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
14,78,car,car,medium_passenger,medium passenger transport,3,Medium passenger vehicle,car,1,Default Line,opposite,18.48,462,0.885,8d6528b6-0031-4ad8-ade1-612d20a36302,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,a52b1102-8906-4f46-88c4-33aa9288e430,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
15,83,car,car,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,car,1,Default Line,opposite,19.24,481,0.9216,8d6528b6-0031-4ad8-ade1-612d20a36302,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,a52b1102-8906-4f46-88c4-33aa9288e430,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
16,85,car,car,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,car,1,Default Line,opposite,20.56,514,0.903,8d6528b6-0031-4ad8-ade1-612d20a36302,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,a52b1102-8906-4f46-88c4-33aa9288e430,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
17,91,car,car,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,car,1,Default Line,opposite,20.88,522,0.9237,8d6528b6-0031-4ad8-ade1-612d20a36302,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,a52b1102-8906-4f46-88c4-33aa9288e430,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
18,93,car,car,pickup_micro_delivery,pickup / micro truck / delivery vehicle,4,Pickup / micro truck / delivery,car,1,Default Line,opposite,21.6,540,0.8891,8d6528b6-0031-4ad8-ade1-612d20a36302,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,a52b1102-8906-4f46-88c4-33aa9288e430,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
19,97,car,car,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,car,1,Default Line,opposite,22.44,561,0.8877,8d6528b6-0031-4ad8-ade1-612d20a36302,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,a52b1102-8906-4f46-88c4-33aa9288e430,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
20,101,car,car,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,car,1,Default Line,opposite,25.64,641,0.8796,8d6528b6-0031-4ad8-ade1-612d20a36302,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,a52b1102-8906-4f46-88c4-33aa9288e430,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
21,117,car,car,medium_passenger,medium passenger transport,3,Medium passenger vehicle,car,1,Default Line,opposite,26.6,665,0.9109,8d6528b6-0031-4ad8-ade1-612d20a36302,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,a52b1102-8906-4f46-88c4-33aa9288e430,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
22,104,bus,bus,small_bus,small bus,5a,Small bus,bus,1,Default Line,opposite,27.56,689,0.932,8d6528b6-0031-4ad8-ade1-612d20a36302,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,a52b1102-8906-4f46-88c4-33aa9288e430,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
