track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
39402,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,440.75,441.65,0.9,20.0
39484,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,71.8%,442.45,441.75,0.7,25.7
39913,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.3%,446.449,447.249,0.8,22.5
40661,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.4%,455.548,456.098,0.55,32.7
44558,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.9%,499.094,499.593,0.5,36.0
45218,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.9%,507.043,507.743,0.7,25.7
45396,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.5%,509.642,510.292,0.65,27.7
45537,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.2%,511.342,512.092,0.75,24.0
45888,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.5%,516.091,516.891,0.8,22.5
46186,Car / Sedan,2,Sedan / jeep / station wagon,normal,91.5%,521.391,520.241,1.15,15.7
46447,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.8%,521.641,522.391,0.75,24.0
46575,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.3%,522.991,523.841,0.85,21.2
46568,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.5%,523.141,523.941,0.8,22.5
46631,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.7%,523.641,524.341,0.7,25.7
46665,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,82.1%,524.241,524.941,0.7,25.7
46689,Car / Sedan,2,Sedan / jeep / station wagon,opposite,68.0%,524.341,525.191,0.85,21.2
46736,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,63.6%,524.841,525.441,0.6,30.0
46751,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.9%,525.14,526.04,0.9,20.0
46776,Car / Sedan,2,Sedan / jeep / station wagon,normal,87.6%,526.74,526.04,0.7,25.7
46898,Car / Sedan,2,Sedan / jeep / station wagon,opposite,82.1%,526.69,527.54,0.85,21.2
47047,Car / Sedan,2,Sedan / jeep / station wagon,opposite,51.0%,528.74,529.44,0.7,25.7
